order_item_id,order_id,item_id,quantity,selling_price,food_cost,profit
202,100086,I0487,3,335,121,214
203,100086,I0418,3,96,16,80
204,100087,I0971,1,163,43,120
205,100087,I0910,2,124,30,94
206,100087,I0191,2,170,50,120
207,100087,I0287,2,393,140,253
208,100088,I0059,2,308,106,202
209,100088,I0210,1,72,20,52
210,100088,I0964,2,181,52,129
211,100089,I0976,1,110,35,75
212,100089,I0826,2,124,25,99
213,100089,I0990,2,275,88,187
214,100090,I0932,3,242,106,136
215,100090,I0175,1,62,12,50
216,100090,I0609,2,74,24,50
217,100091,I0724,3,166,54,112
218,100091,I0102,2,100,30,70
219,100091,I0631,2,280,95,185
220,100092,I0040,1,335,102,233
221,100092,I0778,2,101,16,85
222,100092,I0075,2,42,11,31
223,100093,I0823,1,426,173,253
224,100093,I0175,1,62,12,50
225,100093,I0226,2,200,62,138
226,100094,I0595,1,244,82,162
227,100094,I0722,2,79,18,61
228,100095,I0656,1,379,118,261
229,100095,I0445,1,180,56,124
230,100095,I0547,1,280,138,142
231,100096,I0025,1,76,16,60
232,100096,I0705,1,150,24,126
233,100097,I0119,1,364,117,247
234,100097,I0040,1,335,102,233
235,100097,I0133,2,137,34,103
236,100098,I0241,3,100,22,78
237,100098,I0265,1,531,233,298
238,100098,I0035,1,235,59,176
239,100098,I0738,1,205,70,135
240,100099,I0503,2,109,21,88
241,100099,I0634,1,356,118,238
242,100100,I0841,1,75,17,58
243,100100,I0646,2,57,13,44
244,100100,I0363,2,254,116,138
245,100101,I0134,2,146,30,116
246,100102,I0130,3,250,86,164
247,100102,I0985,1,85,17,68
248,100103,I0704,1,171,47,124
249,100103,I0842,1,388,127,261
250,100104,I0717,1,60,16,44
251,100104,I0961,1,372,138,234
252,100104,I0190,1,82,13,69
253,100105,I0444,2,113,44,69
254,100105,I0054,1,179,50,129
255,100106,I0734,3,281,130,151
256,100106,I0415,3,43,13,30
257,100106,I0268,2,46,11,35
258,100107,I0037,1,118,39,79
259,100107,I0259,1,223,59,164
260,100108,I0295,2,169,46,123
261,100108,I0122,2,385,145,240
262,100109,I0065,1,244,73,171
263,100109,I0710,2,126,32,94
264,100109,I0048,1,133,20,113
265,100110,I0503,1,109,21,88
266,100110,I0146,1,135,28,107
267,100111,I0281,3,252,87,165
268,100111,I0416,1,88,28,60
269,100111,I0770,2,156,31,125
270,100111,I0092,1,229,101,128
271,100112,I0550,1,85,13,72
272,100112,I0366,2,174,47,127
273,100112,I0208,1,173,47,126
274,100112,I0569,1,232,107,125
275,100113,I0882,3,215,44,171
276,100113,I0830,2,375,93,282
277,100113,I0350,2,311,78,233
278,100114,I0366,1,174,47,127
279,100114,I0739,1,252,80,172
280,100114,I0510,1,275,112,163
281,100115,I0736,3,139,46,93
282,100116,I0059,1,308,106,202
283,100117,I0868,2,94,19,75
284,100117,I0698,2,48,7,41
285,100118,I0400,1,138,23,115
286,100118,I0189,2,288,125,163
287,100118,I0364,1,548,243,305
288,100119,I0694,1,115,27,88
289,100119,I0033,1,148,39,109
290,100120,I0130,3,250,86,164
291,100120,I0379,2,472,198,274
292,100121,I0249,1,348,115,233
293,100121,I0371,1,333,149,184
294,100122,I0027,1,284,126,158
295,100122,I0220,1,175,56,119
296,100123,I0962,1,394,128,266
297,100123,I0039,2,131,38,93
298,100124,I0258,1,283,131,152
299,100124,I0202,1,155,44,111
300,100124,I0843,2,73,20,53
301,100125,I0991,3,193,61,132
302,100125,I0466,1,43,10,33
303,100126,I0628,3,121,27,94
304,100126,I0422,2,181,67,114
305,100126,I0820,1,281,76,205
306,100127,I0761,2,597,224,373
307,100127,I0349,2,125,25,100
308,100128,I0230,3,320,97,223
309,100128,I0579,2,281,91,190
310,100129,I0907,3,35,6,29
311,100129,I0938,2,497,172,325
312,100130,I0437,1,284,79,205
313,100130,I0952,1,238,111,127
314,100130,I0460,1,194,63,131
315,100131,I0135,1,172,57,115
316,100131,I0460,1,194,63,131
317,100132,I0080,2,442,174,268
318,100133,I0833,2,313,137,176
319,100133,I0175,2,62,12,50
320,100133,I0201,2,304,95,209
321,100134,I0962,3,394,128,266
322,100134,I0872,1,147,44,103
323,100135,I0558,2,245,63,182
324,100135,I0183,1,99,18,81
325,100135,I0975,2,169,47,122
326,100136,I0037,1,118,39,79
327,100136,I0030,1,514,198,316
328,100137,I0672,2,373,121,252
329,100137,I0009,1,64,19,45
330,100138,I0656,1,379,118,261
331,100138,I0353,2,161,47,114
332,100139,I0246,3,396,131,265
333,100140,I0802,1,345,117,228
334,100140,I0777,2,381,140,241
335,100141,I0101,2,168,44,124
336,100142,I0810,2,349,111,238
337,100142,I0961,2,372,138,234
338,100142,I0044,1,169,77,92
339,100143,I0416,3,88,28,60
340,100143,I0281,1,252,87,165
341,100143,I0428,2,129,31,98
342,100144,I0961,3,372,138,234
343,100144,I0717,2,60,16,44
344,100144,I0685,1,306,112,194
345,100145,I0049,3,333,110,223
346,100145,I0943,2,225,91,134
347,100146,I0884,3,335,102,233
348,100146,I0657,2,331,133,198
349,100147,I0690,2,67,15,52
350,100147,I0947,1,243,67,176
351,100147,I0236,1,156,42,114
352,100148,I0951,3,254,67,187
353,100149,I0558,1,245,63,182
354,100149,I0775,1,473,120,353
355,100150,I0796,3,441,163,278
356,100150,I0051,1,51,16,35
357,100151,I0059,1,308,106,202
358,100152,I0049,3,333,110,223
359,100153,I0677,2,103,30,73
360,100154,I0982,2,180,58,122
361,100154,I0877,2,335,115,220
362,100154,I0951,1,254,67,187
363,100155,I0810,2,349,111,238
364,100155,I0961,2,372,138,234
365,100156,I0478,2,197,55,142
366,100156,I0213,1,113,33,80
367,100157,I0655,1,94,23,71
368,100157,I0314,1,55,11,44
369,100157,I0398,1,130,58,72
370,100157,I0049,1,333,110,223
371,100158,I0468,1,111,33,78
372,100159,I0873,2,168,47,121
373,100159,I0722,2,79,18,61
374,100160,I0207,2,233,55,178
375,100160,I0775,2,473,120,353
376,100160,I0288,1,101,26,75
377,100161,I0027,3,284,126,158
378,100161,I0220,3,175,56,119
379,100162,I0087,2,171,76,95
380,100162,I0663,2,184,61,123
381,100162,I0248,1,148,36,112
382,100163,I0677,3,103,30,73
383,100164,I0427,2,90,21,69
384,100164,I0705,2,150,24,126
385,100164,I0805,1,206,101,105
386,100164,I0309,2,316,114,202
387,100165,I0382,3,398,159,239
388,100165,I0126,3,113,23,90
389,100165,I0342,1,197,54,143
390,100166,I0956,1,147,37,110
391,100166,I0628,1,121,27,94
392,100167,I0140,2,390,153,237
393,100167,I0867,1,158,33,125
394,100167,I0318,2,135,37,98
395,100168,I0428,3,129,31,98
396,100168,I0015,1,35,8,27
397,100168,I0003,1,357,122,235
398,100169,I0064,2,213,61,152
399,100170,I0028,1,245,70,175
400,100170,I0824,1,431,170,261
401,100171,I0657,3,331,133,198
402,100171,I0643,3,71,14,57
403,100171,I0145,1,132,43,89
404,100172,I0842,2,388,127,261
405,100172,I0980,2,256,106,150
406,100173,I0313,2,107,24,83
407,100173,I0517,2,50,9,41
408,100174,I0238,1,238,111,127
409,100174,I0334,1,80,26,54
410,100175,I0436,3,232,56,176
411,100176,I0821,2,202,65,137
412,100176,I0299,2,227,67,160
413,100176,I0243,2,275,85,190
414,100176,I0841,1,75,17,58
415,100177,I0798,3,403,152,251
416,100177,I0545,1,85,23,62
417,100177,I0124,2,238,60,178
418,100178,I0556,1,174,59,115
419,100178,I0004,1,62,18,44
420,100179,I0505,1,202,70,132
421,100179,I0676,1,190,89,101
422,100180,I0501,1,304,107,197
423,100181,I0873,1,168,47,121
424,100181,I0972,1,252,82,170
425,100181,I0691,2,143,27,116
426,100182,I0511,1,336,86,250
427,100182,I0433,2,159,61,98
428,100183,I0865,3,203,59,144
429,100183,I0409,2,98,28,70
430,100184,I0382,3,398,159,239
431,100184,I0843,1,73,20,53
432,100184,I0789,2,306,94,212
433,100185,I0139,3,206,67,139
434,100185,I0811,1,90,16,74
435,100186,I0936,2,370,123,247
436,100187,I0074,2,79,12,67
437,100187,I0629,2,579,248,331
438,100187,I0825,1,173,48,125
439,100187,I0377,2,598,234,364
440,100188,I0883,3,211,59,152
441,100189,I0171,2,284,129,155
442,100189,I0667,2,138,40,98
443,100189,I0433,2,159,61,98
444,100190,I0199,1,295,125,170
445,100190,I0497,1,44,7,37
446,100191,I0946,3,179,49,130
447,100191,I0542,3,65,11,54
448,100192,I0583,2,53,10,43
449,100192,I0333,1,278,122,156
450,100193,I0432,1,294,87,207
451,100193,I0568,2,88,25,63
452,100193,I0792,1,194,86,108
453,100193,I0649,2,249,78,171
454,100194,I0165,2,410,104,306
455,100194,I0546,2,291,91,200
456,100194,I0333,2,278,122,156
457,100195,I0001,3,204,51,153
458,100195,I0248,1,148,36,112
459,100195,I0233,1,515,212,303
460,100195,I0722,1,79,18,61
461,100196,I0501,3,304,107,197
462,100197,I0460,3,194,63,131
463,100198,I0852,3,286,98,188
464,100198,I0876,3,224,76,148
465,100198,I0264,2,61,19,42
466,100199,I0647,1,178,44,134
467,100199,I0609,1,74,24,50
468,100199,I0198,2,572,252,320
469,100199,I0226,1,200,62,138
470,100200,I0655,1,94,23,71
471,100200,I0314,1,55,11,44
472,100200,I0256,2,95,28,67
473,100201,I0905,2,340,96,244
474,100201,I0731,2,316,116,200
475,100202,I0201,2,304,95,209
476,100202,I0632,2,216,60,156
477,100203,I0724,2,166,54,112
478,100203,I0753,1,78,22,56
479,100203,I0645,2,310,89,221
480,100204,I0466,3,43,10,33
481,100205,I0711,2,175,57,118
482,100205,I0423,2,219,64,155
483,100205,I0094,2,141,32,109
484,100205,I0334,1,80,26,54
485,100206,I0516,3,85,17,68
486,100206,I0179,2,105,26,79
487,100207,I0802,1,345,117,228
488,100208,I0013,3,265,72,193
489,100208,I0309,3,316,114,202
490,100208,I0828,2,350,127,223
491,100209,I0374,2,87,21,66
492,100209,I0883,2,211,59,152
493,100210,I0152,2,329,95,234
494,100210,I0954,2,212,74,138
495,100210,I0312,2,282,140,142
496,100211,I0228,3,65,22,43
497,100211,I0203,1,363,124,239
498,100212,I0133,1,137,34,103
499,100212,I0294,1,141,29,112
500,100213,I0673,2,83,15,68
501,100214,I0371,2,333,149,184
502,100214,I0646,2,57,13,44
503,100214,I0363,1,254,116,138
504,100215,I0232,1,89,23,66
505,100215,I0019,1,361,157,204
506,100216,I0497,3,44,7,37
507,100216,I0199,1,295,125,170
508,100217,I0853,2,276,99,177
509,100217,I0466,2,43,10,33
510,100218,I0151,2,150,32,118
511,100218,I0383,1,295,132,163
512,100218,I0605,2,134,32,102
513,100219,I0314,2,55,11,44
514,100219,I0518,1,90,25,65
515,100220,I0295,2,169,46,123
516,100220,I0628,1,121,27,94
517,100220,I0956,2,147,37,110
518,100221,I0916,1,253,98,155
519,100221,I0705,1,150,24,126
520,100222,I0852,3,286,98,188
521,100222,I0675,2,30,4,26
522,100223,I0774,1,352,114,238
523,100223,I0766,1,236,79,157
524,100224,I0034,1,182,61,121
525,100224,I0741,1,569,251,318
526,100225,I0102,1,100,30,70
527,100225,I0949,1,91,21,70
528,100225,I0543,2,359,145,214
529,100226,I0257,1,139,30,109
530,100226,I0605,1,134,32,102
531,100227,I0800,3,110,36,74
532,100227,I0827,1,167,37,130
533,100228,I0980,2,256,106,150
534,100228,I0708,2,170,55,115
535,100228,I0958,2,313,94,219
536,100229,I0479,1,224,60,164
537,100229,I0473,1,305,103,202
538,100230,I0706,1,247,66,181
539,100230,I0049,2,333,110,223
540,100230,I0441,1,216,83,133
541,100231,I0079,1,89,24,65
542,100231,I0664,1,30,6,24
543,100232,I0717,1,60,16,44
544,100232,I0810,2,349,111,238
545,100232,I0685,1,306,112,194
546,100233,I0778,2,101,16,85
547,100233,I0034,2,182,61,121
548,100234,I0391,2,43,14,29
549,100234,I0143,2,291,101,190
550,100235,I0854,3,62,11,51
551,100235,I0176,2,324,121,203
552,100236,I0137,2,93,27,66
553,100236,I0646,2,57,13,44
554,100237,I0795,3,354,139,215
555,100238,I0291,2,46,10,36
556,100238,I0509,2,122,34,88
557,100239,I0827,1,167,37,130
558,100239,I0584,1,142,24,118
559,100240,I0270,2,69,21,48
560,100241,I0055,1,254,85,169
561,100242,I0636,3,256,75,181
562,100242,I0019,1,361,157,204
563,100243,I0734,1,281,130,151
564,100243,I0415,1,43,13,30
565,100243,I0281,1,252,87,165
566,100244,I0160,2,66,14,52
567,100244,I0515,1,178,57,121
568,100245,I0190,3,82,13,69
569,100245,I0240,1,500,192,308
570,100246,I0027,2,284,126,158
571,100246,I0426,2,138,38,100
572,100247,I0946,1,179,49,130
573,100247,I0542,1,65,11,54
574,100247,I0006,1,31,4,27
575,100247,I0135,1,172,57,115
576,100248,I0670,1,410,149,261
577,100248,I0401,1,129,28,101
578,100248,I0384,2,163,47,116
579,100248,I0526,1,144,38,106
580,100249,I0865,2,203,59,144
581,100249,I0528,2,148,36,112
582,100250,I0050,1,284,137,147
583,100250,I0748,1,62,16,46
584,100250,I0316,2,131,38,93
585,100251,I0729,1,174,70,104
586,100251,I0650,1,161,43,118
587,100252,I0605,2,134,32,102
588,100253,I0647,2,178,44,134
589,100253,I0932,1,242,106,136
590,100254,I0371,2,333,149,184
591,100254,I0646,2,57,13,44
592,100255,I0788,3,172,52,120
593,100255,I0333,1,278,122,156
594,100256,I0715,2,545,226,319
595,100256,I0889,2,99,20,79
596,100257,I0066,2,200,94,106
597,100257,I0228,2,65,22,43
598,100257,I0203,2,363,124,239
599,100257,I0223,2,208,60,148
600,100258,I0134,3,146,30,116
601,100259,I0532,2,71,14,57
602,100260,I0634,1,356,118,238
603,100260,I0911,1,228,84,144
604,100261,I0156,1,69,15,54
605,100261,I0624,1,103,20,83
606,100262,I0859,1,210,67,143
607,100262,I0046,2,75,16,59
608,100262,I0023,1,87,22,65
609,100263,I0721,1,296,123,173
610,100263,I0982,1,180,58,122
611,100263,I0392,1,260,118,142
612,100264,I0059,3,308,106,202
613,100264,I0210,2,72,20,52
614,100265,I0340,1,320,98,222
615,100265,I0023,2,87,22,65
616,100265,I0859,2,210,67,143
617,100266,I0229,3,153,30,123
618,100266,I0497,3,44,7,37
619,100266,I0230,2,320,97,223
620,100266,I0026,1,201,70,131
621,100267,I0902,2,517,191,326
622,100267,I0603,1,362,160,202
623,100267,I0951,1,254,67,187
624,100268,I0596,2,224,77,147
625,100268,I0777,2,381,140,241
626,100268,I0293,2,83,23,60
627,100268,I0115,2,563,240,323
628,100269,I0685,2,306,112,194
629,100270,I0657,3,331,133,198
630,100270,I0829,1,157,48,109
631,100270,I0592,1,318,105,213
632,100271,I0715,1,545,226,319
633,100271,I0542,1,65,11,54
634,100271,I0952,2,238,111,127
635,100272,I0638,3,346,96,250
636,100272,I0306,1,387,106,281
637,100273,I0659,1,60,16,44
638,100273,I0952,1,238,111,127
639,100274,I0868,2,94,19,75
640,100274,I0698,2,48,7,41
641,100274,I0924,1,582,226,356
642,100274,I0484,1,104,26,78
643,100275,I0775,1,473,120,353
644,100275,I0207,1,233,55,178
645,100275,I0874,2,240,100,140
646,100276,I0218,2,143,70,73
647,100276,I0051,2,51,16,35
648,100277,I0851,2,131,27,104
649,100278,I0737,3,291,92,199
650,100279,I0585,2,217,106,111
651,100279,I0864,2,76,25,51
652,100279,I0730,2,99,25,74
653,100279,I0527,1,112,33,79
654,100280,I0374,2,87,21,66
655,100280,I0780,2,293,133,160
656,100281,I0920,2,546,214,332
657,100281,I0945,2,100,15,85
658,100281,I0317,2,232,58,174
659,100282,I0516,2,85,17,68
660,100283,I0729,2,174,70,104
661,100283,I0678,2,192,66,126
662,100284,I0634,3,356,118,238
663,100284,I0153,3,205,65,140
664,100284,I0735,2,336,127,209
665,100284,I0927,2,186,80,106
666,100285,I0423,2,219,64,155
667,100285,I0998,1,575,251,324
668,100286,I0804,1,236,72,164
669,100286,I0040,1,335,102,233
670,100286,I0935,1,400,174,226
671,100287,I0258,1,283,131,152
672,100287,I0202,1,155,44,111
673,100287,I0447,2,93,16,77
674,100288,I0662,1,174,74,100
675,100289,I0380,2,117,28,89
676,100289,I0906,1,577,208,369
677,100290,I0227,2,190,39,151
678,100290,I0539,1,76,16,60
679,100290,I0362,2,113,26,87
680,100291,I0333,1,278,122,156
681,100291,I0583,1,53,10,43
682,100291,I0607,1,71,13,58
683,100291,I0792,1,194,86,108
684,100292,I0259,2,223,59,164
685,100292,I0212,1,297,85,212
686,100292,I0345,1,268,89,179
687,100293,I0648,2,140,38,102
688,100293,I0794,1,178,51,127
689,100294,I0729,2,174,70,104
690,100294,I0396,2,139,48,91
691,100294,I0436,1,232,56,176
692,100295,I0427,2,90,21,69
693,100295,I0705,2,150,24,126
694,100296,I0248,3,148,36,112
695,100297,I0433,2,159,61,98
696,100297,I0667,2,138,40,98
697,100298,I0783,1,245,73,172
698,100298,I0505,2,202,70,132
699,100299,I0618,2,145,30,115
700,100299,I0304,2,130,27,103
701,100300,I0884,1,335,102,233
702,100300,I0907,2,35,6,29
703,100301,I0591,2,117,21,96
704,100301,I0543,2,359,145,214
705,100302,I0441,3,216,83,133
706,100302,I0314,1,55,11,44
707,100302,I0256,2,95,28,67
708,100303,I0430,2,74,16,58
709,100303,I0582,2,37,6,31
710,100303,I0951,2,254,67,187
711,100304,I0158,2,468,157,311
712,100304,I0449,2,37,9,28
713,100304,I0515,1,178,57,121
714,100304,I0993,2,93,15,78
715,100305,I0860,2,329,120,209
716,100305,I0675,2,30,4,26
717,100305,I0988,1,39,8,31
718,100305,I0522,2,183,39,144
719,100306,I0523,2,95,21,74
720,100306,I0858,2,63,15,48
721,100307,I0852,2,286,98,188
722,100307,I0876,2,224,76,148
723,100307,I0105,1,84,24,60
724,100307,I0860,2,329,120,209
725,100308,I0546,1,291,91,200
726,100309,I0311,3,124,28,96
727,100309,I0053,2,340,93,247
728,100309,I0684,1,293,91,202
729,100310,I0002,3,194,66,128
730,100311,I0917,1,239,64,175
731,100311,I0419,2,131,29,102
732,100311,I0883,1,211,59,152
733,100311,I0495,1,593,262,331
734,100312,I0817,2,413,107,306
735,100312,I0106,2,367,134,233
736,100313,I0537,1,130,59,71
737,100313,I0287,1,393,140,253
738,100314,I0581,1,73,17,56
739,100314,I0419,1,131,29,102
740,100314,I0509,1,122,34,88
741,100315,I0298,2,303,120,183
742,100315,I0899,2,132,23,109
743,100316,I0384,2,163,47,116
744,100316,I0401,2,129,28,101
745,100316,I0670,2,410,149,261
746,100317,I0438,3,279,74,205
747,100318,I0948,2,95,21,74
748,100318,I0550,2,85,13,72
749,100319,I0424,1,154,52,102
750,100320,I0539,3,76,16,60
751,100320,I0438,1,279,74,205
752,100321,I0710,1,126,32,94
753,100321,I0155,2,317,136,181
754,100322,I0214,2,423,147,276
755,100322,I0990,2,275,88,187
756,100323,I0392,1,260,118,142
757,100323,I0934,1,155,50,105
758,100324,I0964,3,181,52,129
759,100324,I0210,1,72,20,52
760,100324,I0059,2,308,106,202
761,100325,I0119,3,364,117,247
762,100325,I0935,2,400,174,226
763,100326,I0621,3,117,40,77
764,100326,I0243,2,275,85,190
765,100326,I0702,1,241,101,140
766,100327,I0720,3,130,28,102
767,100328,I0029,2,271,78,193
768,100328,I0059,2,308,106,202
769,100329,I0242,3,545,198,347
770,100329,I0517,3,50,9,41
771,100330,I0105,1,84,24,60
772,100330,I0480,1,444,167,277
773,100330,I0852,2,286,98,188
774,100331,I0099,2,275,97,178
775,100331,I0859,2,210,67,143
776,100332,I0570,1,277,83,194
777,100332,I0616,1,158,60,98
778,100333,I0366,1,174,47,127
779,100333,I0687,2,455,142,313
780,100333,I0510,1,275,112,163
781,100334,I0401,1,129,28,101
782,100334,I0589,1,376,167,209
783,100335,I0533,2,44,10,34
784,100335,I0930,2,267,105,162
785,100336,I0243,2,275,85,190
786,100336,I0325,1,176,37,139
787,100336,I0371,2,333,149,184
788,100337,I0628,2,121,27,94
789,100337,I0422,1,181,67,114
790,100338,I0946,1,179,49,130
791,100338,I0006,1,31,4,27
792,100339,I0345,3,268,89,179
793,100339,I0037,1,118,39,79
794,100339,I0131,2,239,72,167
795,100339,I0668,1,132,28,104
796,100340,I0186,2,304,127,177
797,100340,I0994,2,74,11,63
798,100340,I0558,2,245,63,182
799,100341,I0951,1,254,67,187
800,100341,I0902,1,517,191,326
801,100342,I0657,2,331,133,198
802,100342,I0907,2,35,6,29
803,100343,I0618,1,145,30,115
804,100343,I0832,1,43,6,37
805,100343,I0851,1,131,27,104
806,100344,I0144,2,397,128,269
807,100344,I0556,2,174,59,115
808,100344,I0056,1,194,44,150
809,100345,I0946,2,179,49,130
810,100345,I0542,2,65,11,54
811,100345,I0460,1,194,63,131
812,100346,I0568,1,88,25,63
813,100346,I0607,1,71,13,58
814,100346,I0501,1,304,107,197
815,100347,I0221,3,137,43,94
816,100347,I0109,2,140,30,110
817,100347,I0657,2,331,133,198
818,100348,I0231,2,130,41,89
819,100348,I0883,1,211,59,152
