inventory_id,merchant_id,ingredient_name,stock_quantity,unit,cost_per_unit,last_updated
107,M016,Onion,36,kg,30,2025-10-09 06:00:00
108,M016,Tomato,2,kg,45,2025-10-09 06:00:00
109,M016,Paneer,38,kg,260,2025-10-09 06:00:00
110,M017,Cheese,8,kg,350,2025-10-09 06:00:00
111,M017,Paneer,39,kg,260,2025-10-09 06:00:00
112,M017,Chicken,6,kg,220,2025-10-09 06:00:00
113,M017,Oil,41,liter,115,2025-10-09 06:00:00
114,M017,Flour,79,kg,35,2025-10-09 06:00:00
115,M017,Onion,30,kg,30,2025-10-09 06:00:00
116,M018,Flour,41,kg,35,2025-10-09 06:00:00
117,M018,Tomato,21,kg,45,2025-10-09 06:00:00
118,M018,Paneer,24,kg,260,2025-10-09 06:00:00
119,M018,Chicken,26,kg,220,2025-10-09 06:00:00
120,M018,Rice,168,kg,89,2025-10-09 06:00:00
121,M018,Oil,30,liter,115,2025-10-09 06:00:00
122,M018,Milk,51,liter,55,2025-10-09 06:00:00
123,M018,Cheese,24,kg,350,2025-10-09 06:00:00
124,M019,Tomato,33,kg,45,2025-10-09 06:00:00
125,M019,Cheese,25,kg,350,2025-10-09 06:00:00
126,M019,Oil,7,liter,115,2025-10-09 06:00:00
127,M019,Chicken,39,kg,220,2025-10-09 06:00:00
128,M019,Milk,27,liter,55,2025-10-09 06:00:00
129,M019,Paneer,33,kg,260,2025-10-09 06:00:00
130,M019,Flour,26,kg,35,2025-10-09 06:00:00
131,M019,Rice,170,kg,89,2025-10-09 06:00:00
132,M019,Onion,66,kg,30,2025-10-09 06:00:00
133,M020,Tomato,21,kg,45,2025-10-09 06:00:00
134,M020,Rice,5,kg,89,2025-10-09 06:00:00
135,M020,Flour,26,kg,35,2025-10-09 06:00:00
136,M020,Milk,25,liter,55,2025-10-09 06:00:00
137,M020,Oil,8,liter,115,2025-10-09 06:00:00
138,M021,Chicken,3,kg,220,2025-10-09 06:00:00
139,M021,Tomato,25,kg,45,2025-10-09 06:00:00
140,M021,Flour,67,kg,35,2025-10-09 06:00:00
141,M021,Milk,45,liter,55,2025-10-09 06:00:00
142,M021,Cheese,20,kg,350,2025-10-09 06:00:00
143,M021,Paneer,22,kg,260,2025-10-09 06:00:00
144,M021,Oil,36,liter,115,2025-10-09 06:00:00
145,M021,Rice,151,kg,89,2025-10-09 06:00:00
146,M021,Onion,38,kg,30,2025-10-09 06:00:00
147,M022,Paneer,33,kg,260,2025-10-09 06:00:00
148,M022,Tomato,24,kg,45,2025-10-09 06:00:00
149,M022,Rice,99,kg,89,2025-10-09 06:00:00
150,M022,Milk,31,liter,55,2025-10-09 06:00:00
151,M022,Oil,30,liter,115,2025-10-09 06:00:00
152,M023,Tomato,30,kg,45,2025-10-09 06:00:00
153,M023,Paneer,40,kg,260,2025-10-09 06:00:00
154,M023,Flour,53,kg,35,2025-10-09 06:00:00
155,M023,Chicken,6,kg,220,2025-10-09 06:00:00
156,M023,Milk,28,liter,55,2025-10-09 06:00:00
157,M023,Cheese,19,kg,350,2025-10-09 06:00:00
158,M023,Oil,8,liter,115,2025-10-09 06:00:00
159,M024,Rice,121,kg,89,2025-10-09 06:00:00
160,M024,Flour,45,kg,35,2025-10-09 06:00:00
161,M024,Onion,34,kg,30,2025-10-09 06:00:00
162,M024,Tomato,29,kg,45,2025-10-09 06:00:00
163,M024,Paneer,27,kg,260,2025-10-09 06:00:00
164,M025,Oil,16,liter,115,2025-10-09 06:00:00
165,M025,Onion,54,kg,30,2025-10-09 06:00:00
166,M025,Tomato,16,kg,45,2025-10-09 06:00:00
167,M025,Cheese,29,kg,350,2025-10-09 06:00:00
168,M025,Flour,79,kg,35,2025-10-09 06:00:00
169,M025,Chicken,54,kg,220,2025-10-09 06:00:00
170,M025,Rice,191,kg,89,2025-10-09 06:00:00
171,M025,Milk,34,liter,55,2025-10-09 06:00:00
172,M026,Paneer,7,kg,260,2025-10-09 06:00:00
173,M026,Oil,3,liter,115,2025-10-09 06:00:00
174,M026,Cheese,26,kg,350,2025-10-09 06:00:00
175,M026,Milk,3,liter,55,2025-10-09 06:00:00
176,M026,Flour,55,kg,35,2025-10-09 06:00:00
177,M026,Onion,53,kg,30,2025-10-09 06:00:00
178,M026,Chicken,58,kg,220,2025-10-09 06:00:00
179,M026,Rice,100,kg,89,2025-10-09 06:00:00
180,M026,Tomato,55,kg,45,2025-10-09 06:00:00
181,M027,Cheese,17,kg,350,2025-10-09 06:00:00
182,M027,Tomato,26,kg,45,2025-10-09 06:00:00
183,M027,Paneer,17,kg,260,2025-10-09 06:00:00
184,M027,Rice,189,kg,89,2025-10-09 06:00:00
185,M027,Chicken,80,kg,220,2025-10-09 06:00:00
186,M027,Flour,51,kg,35,2025-10-09 06:00:00
187,M027,Onion,50,kg,30,2025-10-09 06:00:00
188,M027,Milk,51,liter,55,2025-10-09 06:00:00
189,M027,Oil,21,liter,115,2025-10-09 06:00:00
190,M028,Flour,68,kg,35,2025-10-09 06:00:00
191,M028,Tomato,3,kg,45,2025-10-09 06:00:00
192,M028,Onion,50,kg,30,2025-10-09 06:00:00
193,M028,Cheese,16,kg,350,2025-10-09 06:00:00
194,M028,Paneer,15,kg,260,2025-10-09 06:00:00
195,M028,Oil,42,liter,115,2025-10-09 06:00:00
196,M028,Milk,29,liter,55,2025-10-09 06:00:00
197,M028,Rice,6,kg,89,2025-10-09 06:00:00
198,M028,Chicken,75,kg,220,2025-10-09 06:00:00
199,M029,Paneer,27,kg,260,2025-10-09 06:00:00
200,M029,Oil,29,liter,115,2025-10-09 06:00:00
201,M029,Tomato,9,kg,45,2025-10-09 06:00:00
202,M029,Chicken,5,kg,220,2025-10-09 06:00:00
203,M029,Cheese,2,kg,350,2025-10-09 06:00:00
204,M029,Milk,38,liter,55,2025-10-09 06:00:00
205,M029,Rice,118,kg,89,2025-10-09 06:00:00
206,M029,Flour,71,kg,35,2025-10-09 06:00:00
207,M030,Milk,38,liter,55,2025-10-09 06:00:00
208,M030,Chicken,31,kg,220,2025-10-09 06:00:00
209,M030,Oil,29,liter,115,2025-10-09 06:00:00
210,M030,Tomato,18,kg,45,2025-10-09 06:00:00
211,M030,Flour,8,kg,35,2025-10-09 06:00:00
212,M031,Onion,47,kg,30,2025-10-09 06:00:00
213,M031,Chicken,48,kg,220,2025-10-09 06:00:00
214,M031,Tomato,43,kg,45,2025-10-09 06:00:00
215,M031,Milk,48,liter,55,2025-10-09 06:00:00
216,M031,Rice,176,kg,89,2025-10-09 06:00:00
217,M031,Flour,39,kg,35,2025-10-09 06:00:00
218,M031,Cheese,4,kg,350,2025-10-09 06:00:00
219,M031,Paneer,4,kg,260,2025-10-09 06:00:00
220,M031,Oil,3,liter,115,2025-10-09 06:00:00
221,M032,Paneer,29,kg,260,2025-10-09 06:00:00
222,M032,Chicken,42,kg,220,2025-10-09 06:00:00
223,M032,Oil,9,liter,115,2025-10-09 06:00:00
224,M032,Cheese,18,kg,350,2025-10-09 06:00:00
225,M032,Tomato,15,kg,45,2025-10-09 06:00:00
226,M033,Tomato,15,kg,45,2025-10-09 06:00:00
227,M033,Milk,37,liter,55,2025-10-09 06:00:00
228,M033,Oil,2,liter,115,2025-10-09 06:00:00
229,M033,Cheese,21,kg,350,2025-10-09 06:00:00
230,M033,Onion,49,kg,30,2025-10-09 06:00:00
231,M033,Flour,42,kg,35,2025-10-09 06:00:00
232,M033,Chicken,54,kg,220,2025-10-09 06:00:00
233,M033,Paneer,9,kg,260,2025-10-09 06:00:00
234,M034,Flour,65,kg,35,2025-10-09 06:00:00
235,M034,Cheese,19,kg,350,2025-10-09 06:00:00
236,M034,Onion,3,kg,30,2025-10-09 06:00:00
237,M034,Oil,31,liter,115,2025-10-09 06:00:00
238,M034,Paneer,8,kg,260,2025-10-09 06:00:00
239,M034,Tomato,17,kg,45,2025-10-09 06:00:00
240,M034,Chicken,36,kg,220,2025-10-09 06:00:00
241,M034,Rice,2,kg,89,2025-10-09 06:00:00
242,M035,Rice,65,kg,89,2025-10-09 06:00:00
243,M035,Onion,5,kg,30,2025-10-09 06:00:00
244,M035,Chicken,28,kg,220,2025-10-09 06:00:00
245,M035,Flour,61,kg,35,2025-10-09 06:00:00
246,M035,Cheese,15,kg,350,2025-10-09 06:00:00
247,M036,Milk,5,liter,55,2025-10-09 06:00:00
248,M036,Flour,31,kg,35,2025-10-09 06:00:00
249,M036,Chicken,2,kg,220,2025-10-09 06:00:00
250,M036,Rice,5,kg,89,2025-10-09 06:00:00
251,M036,Cheese,17,kg,350,2025-10-09 06:00:00
252,M036,Tomato,23,kg,45,2025-10-09 06:00:00
253,M036,Onion,62,kg,30,2025-10-09 06:00:00
254,M037,Flour,56,kg,35,2025-10-09 06:00:00
255,M037,Onion,48,kg,30,2025-10-09 06:00:00
256,M037,Paneer,18,kg,260,2025-10-09 06:00:00
257,M037,Tomato,25,kg,45,2025-10-09 06:00:00
258,M037,Chicken,49,kg,220,2025-10-09 06:00:00
259,M038,Tomato,16,kg,45,2025-10-09 06:00:00
260,M038,Chicken,41,kg,220,2025-10-09 06:00:00
261,M038,Onion,8,kg,30,2025-10-09 06:00:00
262,M038,Oil,7,liter,115,2025-10-09 06:00:00
263,M038,Rice,8,kg,89,2025-10-09 06:00:00
264,M038,Milk,41,liter,55,2025-10-09 06:00:00
265,M038,Paneer,27,kg,260,2025-10-09 06:00:00
266,M039,Tomato,22,kg,45,2025-10-09 06:00:00
267,M039,Flour,100,kg,35,2025-10-09 06:00:00
268,M039,Chicken,36,kg,220,2025-10-09 06:00:00
269,M039,Cheese,24,kg,350,2025-10-09 06:00:00
270,M039,Rice,132,kg,89,2025-10-09 06:00:00
271,M039,Paneer,30,kg,260,2025-10-09 06:00:00
272,M039,Milk,2,liter,55,2025-10-09 06:00:00
273,M039,Onion,4,kg,30,2025-10-09 06:00:00
274,M039,Oil,44,liter,115,2025-10-09 06:00:00
275,M040,Cheese,28,kg,350,2025-10-09 06:00:00
276,M040,Chicken,48,kg,220,2025-10-09 06:00:00
277,M040,Onion,33,kg,30,2025-10-09 06:00:00
278,M040,Oil,36,liter,115,2025-10-09 06:00:00
279,M040,Tomato,5,kg,45,2025-10-09 06:00:00
280,M040,Rice,157,kg,89,2025-10-09 06:00:00
281,M041,Flour,92,kg,35,2025-10-09 06:00:00
282,M041,Tomato,47,kg,45,2025-10-09 06:00:00
283,M041,Onion,54,kg,30,2025-10-09 06:00:00
284,M041,Oil,28,liter,115,2025-10-09 06:00:00
285,M041,Rice,8,kg,89,2025-10-09 06:00:00
286,M041,Cheese,2,kg,350,2025-10-09 06:00:00
287,M042,Oil,21,liter,115,2025-10-09 06:00:00
288,M042,Milk,37,liter,55,2025-10-09 06:00:00
289,M042,Flour,90,kg,35,2025-10-09 06:00:00
290,M042,Chicken,62,kg,220,2025-10-09 06:00:00
291,M042,Paneer,31,kg,260,2025-10-09 06:00:00
292,M042,Rice,63,kg,89,2025-10-09 06:00:00
293,M043,Flour,2,kg,35,2025-10-09 06:00:00
294,M043,Onion,31,kg,30,2025-10-09 06:00:00
295,M043,Cheese,15,kg,350,2025-10-09 06:00:00
296,M043,Paneer,24,kg,260,2025-10-09 06:00:00
297,M043,Chicken,58,kg,220,2025-10-09 06:00:00
298,M043,Tomato,19,kg,45,2025-10-09 06:00:00
299,M043,Milk,52,liter,55,2025-10-09 06:00:00
300,M043,Oil,8,liter,115,2025-10-09 06:00:00
301,M043,Rice,57,kg,89,2025-10-09 06:00:00
302,M044,Flour,50,kg,35,2025-10-09 06:00:00
303,M044,Oil,31,liter,115,2025-10-09 06:00:00
304,M044,Paneer,23,kg,260,2025-10-09 06:00:00
305,M044,Tomato,58,kg,45,2025-10-09 06:00:00
306,M044,Chicken,25,kg,220,2025-10-09 06:00:00
307,M044,Milk,32,liter,55,2025-10-09 06:00:00
308,M045,Flour,49,kg,35,2025-10-09 06:00:00
309,M045,Cheese,6,kg,350,2025-10-09 06:00:00
310,M045,Chicken,44,kg,220,2025-10-09 06:00:00
311,M045,Tomato,52,kg,45,2025-10-09 06:00:00
312,M045,Paneer,39,kg,260,2025-10-09 06:00:00
313,M045,Rice,6,kg,89,2025-10-09 06:00:00
314,M045,Milk,32,liter,55,2025-10-09 06:00:00
315,M046,Flour,9,kg,35,2025-10-09 06:00:00
316,M046,Tomato,15,kg,45,2025-10-09 06:00:00
317,M046,Chicken,72,kg,220,2025-10-09 06:00:00
318,M046,Rice,160,kg,89,2025-10-09 06:00:00
319,M046,Milk,36,liter,55,2025-10-09 06:00:00
320,M046,Cheese,28,kg,350,2025-10-09 06:00:00
321,M046,Onion,51,kg,30,2025-10-09 06:00:00
322,M046,Oil,44,liter,115,2025-10-09 06:00:00
323,M047,Paneer,36,kg,260,2025-10-09 06:00:00
324,M047,Flour,44,kg,35,2025-10-09 06:00:00
325,M047,Milk,3,liter,55,2025-10-09 06:00:00
326,M047,Chicken,68,kg,220,2025-10-09 06:00:00
327,M047,Tomato,35,kg,45,2025-10-09 06:00:00
328,M047,Oil,25,liter,115,2025-10-09 06:00:00
329,M047,Onion,69,kg,30,2025-10-09 06:00:00
330,M048,Rice,83,kg,89,2025-10-09 06:00:00
331,M048,Milk,42,liter,55,2025-10-09 06:00:00
332,M048,Tomato,2,kg,45,2025-10-09 06:00:00
333,M048,Cheese,30,kg,350,2025-10-09 06:00:00
334,M048,Onion,47,kg,30,2025-10-09 06:00:00
335,M048,Flour,48,kg,35,2025-10-09 06:00:00
336,M049,Paneer,7,kg,260,2025-10-09 06:00:00
337,M049,Tomato,55,kg,45,2025-10-09 06:00:00
338,M049,Milk,51,liter,55,2025-10-09 06:00:00
339,M049,Oil,22,liter,115,2025-10-09 06:00:00
340,M049,Chicken,56,kg,220,2025-10-09 06:00:00
341,M049,Cheese,19,kg,350,2025-10-09 06:00:00
342,M049,Onion,28,kg,30,2025-10-09 06:00:00
343,M049,Flour,72,kg,35,2025-10-09 06:00:00
344,M049,Rice,139,kg,89,2025-10-09 06:00:00
345,M050,Tomato,21,kg,45,2025-10-09 06:00:00
346,M050,Milk,51,liter,55,2025-10-09 06:00:00
347,M050,Flour,68,kg,35,2025-10-09 06:00:00
348,M050,Cheese,21,kg,350,2025-10-09 06:00:00
349,M050,Rice,97,kg,89,2025-10-09 06:00:00
350,M050,Paneer,24,kg,260,2025-10-09 06:00:00
351,M051,Rice,165,kg,89,2025-10-09 06:00:00
352,M051,Milk,4,liter,55,2025-10-09 06:00:00
353,M051,Onion,55,kg,30,2025-10-09 06:00:00
354,M051,Flour,5,kg,35,2025-10-09 06:00:00
355,M051,Paneer,33,kg,260,2025-10-09 06:00:00
356,M051,Cheese,15,kg,350,2025-10-09 06:00:00
357,M051,Chicken,49,kg,220,2025-10-09 06:00:00
358,M051,Tomato,47,kg,45,2025-10-09 06:00:00
359,M051,Oil,39,liter,115,2025-10-09 06:00:00
360,M052,Milk,56,liter,55,2025-10-09 06:00:00
361,M052,Flour,78,kg,35,2025-10-09 06:00:00
362,M052,Rice,113,kg,89,2025-10-09 06:00:00
363,M052,Cheese,30,kg,350,2025-10-09 06:00:00
364,M052,Tomato,8,kg,45,2025-10-09 06:00:00
365,M052,Chicken,58,kg,220,2025-10-09 06:00:00
366,M053,Rice,3,kg,89,2025-10-09 06:00:00
367,M053,Chicken,63,kg,220,2025-10-09 06:00:00
368,M053,Tomato,3,kg,45,2025-10-09 06:00:00
369,M053,Flour,23,kg,35,2025-10-09 06:00:00
370,M053,Cheese,11,kg,350,2025-10-09 06:00:00
371,M053,Paneer,6,kg,260,2025-10-09 06:00:00
372,M053,Onion,58,kg,30,2025-10-09 06:00:00
373,M053,Milk,4,liter,55,2025-10-09 06:00:00
374,M053,Oil,23,liter,115,2025-10-09 06:00:00
375,M054,Tomato,28,kg,45,2025-10-09 06:00:00
376,M054,Flour,7,kg,35,2025-10-09 06:00:00
377,M054,Cheese,3,kg,350,2025-10-09 06:00:00
378,M054,Onion,61,kg,30,2025-10-09 06:00:00
379,M054,Chicken,41,kg,220,2025-10-09 06:00:00
380,M054,Paneer,28,kg,260,2025-10-09 06:00:00
381,M054,Rice,76,kg,89,2025-10-09 06:00:00
382,M054,Milk,41,liter,55,2025-10-09 06:00:00
383,M055,Onion,75,kg,30,2025-10-09 06:00:00
384,M055,Flour,8,kg,35,2025-10-09 06:00:00
385,M055,Cheese,5,kg,350,2025-10-09 06:00:00
386,M055,Rice,47,kg,89,2025-10-09 06:00:00
387,M055,Tomato,3,kg,45,2025-10-09 06:00:00
388,M055,Oil,45,liter,115,2025-10-09 06:00:00
389,M055,Chicken,2,kg,220,2025-10-09 06:00:00
390,M055,Paneer,22,kg,260,2025-10-09 06:00:00
391,M055,Milk,34,liter,55,2025-10-09 06:00:00
392,M056,Rice,89,kg,89,2025-10-09 06:00:00
393,M056,Paneer,19,kg,260,2025-10-09 06:00:00
394,M056,Onion,64,kg,30,2025-10-09 06:00:00
395,M056,Flour,44,kg,35,2025-10-09 06:00:00
396,M056,Chicken,9,kg,220,2025-10-09 06:00:00
397,M056,Tomato,15,kg,45,2025-10-09 06:00:00
398,M056,Cheese,30,kg,350,2025-10-09 06:00:00
399,M056,Milk,34,liter,55,2025-10-09 06:00:00
400,M056,Oil,7,liter,115,2025-10-09 06:00:00
401,M057,Oil,4,liter,115,2025-10-09 06:00:00
402,M057,Flour,54,kg,35,2025-10-09 06:00:00
403,M057,Rice,100,kg,89,2025-10-09 06:00:00
404,M057,Paneer,16,kg,260,2025-10-09 06:00:00
405,M057,Milk,55,liter,55,2025-10-09 06:00:00
406,M057,Tomato,3,kg,45,2025-10-09 06:00:00
407,M057,Cheese,17,kg,350,2025-10-09 06:00:00
408,M058,Chicken,33,kg,220,2025-10-09 06:00:00
409,M058,Tomato,30,kg,45,2025-10-09 06:00:00
410,M058,Onion,78,kg,30,2025-10-09 06:00:00
411,M058,Paneer,24,kg,260,2025-10-09 06:00:00
412,M058,Oil,43,liter,115,2025-10-09 06:00:00
413,M058,Rice,160,kg,89,2025-10-09 06:00:00
414,M059,Paneer,31,kg,260,2025-10-09 06:00:00
415,M059,Tomato,57,kg,45,2025-10-09 06:00:00
416,M059,Chicken,37,kg,220,2025-10-09 06:00:00
417,M059,Oil,5,liter,115,2025-10-09 06:00:00
418,M059,Flour,57,kg,35,2025-10-09 06:00:00
419,M059,Milk,46,liter,55,2025-10-09 06:00:00
420,M059,Onion,76,kg,30,2025-10-09 06:00:00
421,M059,Cheese,17,kg,350,2025-10-09 06:00:00
422,M060,Paneer,16,kg,260,2025-10-09 06:00:00
423,M060,Flour,54,kg,35,2025-10-09 06:00:00
424,M060,Tomato,3,kg,45,2025-10-09 06:00:00
425,M060,Onion,33,kg,30,2025-10-09 06:00:00
426,M060,Oil,8,liter,115,2025-10-09 06:00:00
427,M060,Rice,3,kg,89,2025-10-09 06:00:00
428,M060,Cheese,29,kg,350,2025-10-09 06:00:00
429,M060,Milk,24,liter,55,2025-10-09 06:00:00
430,M061,Flour,27,kg,35,2025-10-09 06:00:00
431,M061,Tomato,3,kg,45,2025-10-09 06:00:00
432,M061,Chicken,35,kg,220,2025-10-09 06:00:00
433,M061,Onion,4,kg,30,2025-10-09 06:00:00
434,M061,Oil,35,liter,115,2025-10-09 06:00:00
435,M061,Rice,52,kg,89,2025-10-09 06:00:00
436,M061,Cheese,25,kg,350,2025-10-09 06:00:00
437,M061,Milk,20,liter,55,2025-10-09 06:00:00
438,M062,Tomato,41,kg,45,2025-10-09 06:00:00
439,M062,Paneer,9,kg,260,2025-10-09 06:00:00
440,M062,Milk,58,liter,55,2025-10-09 06:00:00
441,M062,Rice,66,kg,89,2025-10-09 06:00:00
442,M062,Onion,9,kg,30,2025-10-09 06:00:00
443,M062,Oil,41,liter,115,2025-10-09 06:00:00
444,M062,Chicken,25,kg,220,2025-10-09 06:00:00
445,M063,Paneer,23,kg,260,2025-10-09 06:00:00
446,M063,Onion,53,kg,30,2025-10-09 06:00:00
447,M063,Milk,57,liter,55,2025-10-09 06:00:00
448,M063,Rice,50,kg,89,2025-10-09 06:00:00
449,M063,Flour,80,kg,35,2025-10-09 06:00:00
450,M063,Chicken,30,kg,220,2025-10-09 06:00:00
451,M063,Tomato,51,kg,45,2025-10-09 06:00:00
452,M063,Oil,29,liter,115,2025-10-09 06:00:00
453,M063,Cheese,26,kg,350,2025-10-09 06:00:00
454,M064,Onion,79,kg,30,2025-10-09 06:00:00
455,M064,Rice,133,kg,89,2025-10-09 06:00:00
456,M064,Flour,95,kg,35,2025-10-09 06:00:00
457,M064,Cheese,11,kg,350,2025-10-09 06:00:00
458,M064,Chicken,9,kg,220,2025-10-09 06:00:00
459,M064,Tomato,58,kg,45,2025-10-09 06:00:00
460,M064,Oil,24,liter,115,2025-10-09 06:00:00
461,M064,Paneer,24,kg,260,2025-10-09 06:00:00
462,M065,Flour,39,kg,35,2025-10-09 06:00:00
463,M065,Tomato,32,kg,45,2025-10-09 06:00:00
464,M065,Onion,70,kg,30,2025-10-09 06:00:00
465,M065,Milk,31,liter,55,2025-10-09 06:00:00
466,M065,Oil,46,liter,115,2025-10-09 06:00:00
467,M066,Cheese,10,kg,350,2025-10-09 06:00:00
468,M066,Rice,4,kg,89,2025-10-09 06:00:00
469,M066,Flour,4,kg,35,2025-10-09 06:00:00
470,M066,Oil,34,liter,115,2025-10-09 06:00:00
471,M066,Onion,7,kg,30,2025-10-09 06:00:00
472,M067,Paneer,36,kg,260,2025-10-09 06:00:00
